classificacao,sentenca,sentenca_processada1,sentenca_processada2,sentenca_processada3_1,sentenca_processada3_2,sentenca_processada3_3,sentenca_processada3_4
0.0,"Você disse povo, com o desemprego em alta prepare-se para a próxima pesquisa.","Você disse povo, com o desemprego em alta prepare-se para a próxima pesquisa.",Você disse povo com o desemprego em alta preparese para a próxima pesquisa,Voce disse povo com o desemprego em alta preparese para a proxima pesquisa,Voce disse povo desemprego alta preparese proxima pesquisa,voce disse povo desemprego alta preparese proxima pesquisa,voc diss pov desempreg alt prepares prox pesquis
0.0,Alienada.,Alienada.,Alienada,Alienada,Alienada,alienada,alien
0.0,"""já mais""?","""já mais""?",já mais,ja mais,,,
0.0,"Pelo amor de Deus, que erro crasso de português.","Pelo amor de Deus, que erro crasso de português.",Pelo amor de Deus que erro crasso de português,Pelo amor de Deus que erro crasso de portugues,Pelo amor Deus erro crasso portugues,pelo amor deus erro crasso portugues,pel am deu err crass portug
0.0,"E ainda se autointitula ""Professora"",,,","E ainda se autointitula ""Professora"",,,",E ainda se autointitula Professora,E ainda se autointitula Professora,E ainda autointitula Professora,e ainda autointitula professora,e aind autointitul profes
0.0,É por essas que sua atitudes sempre retardatárias nunca surtem efeito e que está em total descrédito.,É por essas que sua atitudes sempre retardatárias nunca surtem efeito e que está em total descrédito.,É por essas que sua atitudes sempre retardatárias nunca surtem efeito e que está em total descrédito,E por essas que sua atitudes sempre retardatarias nunca surtem efeito e que esta em total descredito,E atitudes sempre retardatarias nunca surtem efeito total descredito,e atitudes sempre retardatarias nunca surtem efeito total descredito,e atitud sempr retardat nunc surt efeit total descredit
0.0,"Por generosidade e grandiosidade, renuncie.Ninguém a quer fora porque não gostam de você e sim pela sua incompetência e pouca inteligência.","Por generosidade e grandiosidade, renuncie.Ninguém a quer fora porque não gostam de você e sim pela sua incompetência e pouca inteligência.",Por generosidade e grandiosidade renuncieNinguém a quer fora porque não gostam de você e sim pela sua incompetência e pouca inteligência,Por generosidade e grandiosidade renuncieNinguem a quer fora porque nao gostam de voce e sim pela sua incompetencia e pouca inteligencia,Por generosidade grandiosidade renuncieNinguem quer porque gostam sim incompetencia pouca inteligencia,por generosidade grandiosidade renuncieninguem quer porque gostam sim incompetencia pouca inteligencia,por generos grandios renunciening qu porqu gost sim incompetenc pouc inteligenc
0.0,Sua quinta coluna.,Sua quinta coluna.,Sua quinta coluna,Sua quinta coluna,Sua quinta coluna,sua quinta coluna,sua quint colun
0.0,"Parte da classe média alienada e outra ""enrabichada"" com políticos, ficam loucos para derrubar a Dilma, mas o tal do impeachment já era, poucos ""manés"" foram a Paulista e Copacabana, fizeram papel de tolos..","Parte da classe média alienada e outra ""enrabichada"" com políticos, ficam loucos para derrubar a Dilma, mas o tal do impeachment já era, poucos ""manés"" foram a Paulista e Copacabana, fizeram papel de tolos..",Parte da classe média alienada e outra enrabichada com políticos ficam loucos para derrubar a Dilma mas o tal do impeachment já era poucos manés foram a Paulista e Copacabana fizeram papel de tolos,Parte da classe media alienada e outra enrabichada com politicos ficam loucos para derrubar a Dilma mas o tal do impeachment ja era poucos manes foram a Paulista e Copacabana fizeram papel de tolos,Parte classe media alienada outra enrabichada politicos ficam loucos derrubar Dilma tal impeachment poucos manes Paulista Copacabana fizeram papel tolos,parte classe media alienada outra enrabichada politicos ficam loucos derrubar dilma tal impeachment poucos manes paulista copacabana fizeram papel tolos,part cl med alien outr enrabich poli fic louc derrub dilm tal impeachment pouc man paul copacab fiz papel tol
0.0,"Interessa mais ao povo brasileiro, eu disse povo, é ter um(a) presidente(a) honesta, e isso temos agora a Dilma.","Interessa mais ao povo brasileiro, eu disse povo, é ter um(a) presidente(a) honesta, e isso temos agora a Dilma.",Interessa mais ao povo brasileiro eu disse povo é ter uma presidentea honesta e isso temos agora a Dilma,Interessa mais ao povo brasileiro eu disse povo e ter uma presidentea honesta e isso temos agora a Dilma,Interessa povo brasileiro disse povo ter presidentea honesta agora Dilma,interessa povo brasileiro disse povo ter presidentea honesta agora dilma,interess pov brasil diss pov ter presidente honest agor dilm
0.0,"Reviraram sua vida e constaram que nada, nadinha de ilícito ela praticou.","Reviraram sua vida e constaram que nada, nadinha de ilícito ela praticou.",Reviraram sua vida e constaram que nada nadinha de ilícito ela praticou,Reviraram sua vida e constaram que nada nadinha de ilicito ela praticou,Reviraram vida constaram nada nadinha ilicito praticou,reviraram vida constaram nada nadinha ilicito praticou,revir vid const nad nad ilicit pratic
0.0,"Dá uma olhada na ficha criminal dela na época da ditadura olha lá as passagens dela fez parte grupos armados contra a ditadura e participou de sequestros para trocar por presos da ditadura, fora os crimes do seu governo.","Dá uma olhada na ficha criminal dela na época da ditadura olha lá as passagens dela fez parte grupos armados contra a ditadura e participou de sequestros para trocar por presos da ditadura, fora os crimes do seu governo.",Dá uma olhada na ficha criminal dela na época da ditadura olha lá as passagens dela fez parte grupos armados contra a ditadura e participou de sequestros para trocar por presos da ditadura fora os crimes do seu governo,Da uma olhada na ficha criminal dela na epoca da ditadura olha la as passagens dela fez parte grupos armados contra a ditadura e participou de sequestros para trocar por presos da ditadura fora os crimes do seu governo,Da olhada ficha criminal epoca ditadura olha la passagens fez parte grupos armados contra ditadura participou sequestros trocar presos ditadura crimes governo,da olhada ficha criminal epoca ditadura olha la passagens fez parte grupos armados contra ditadura participou sequestros trocar presos ditadura crimes governo,da olh fich crim epoc ditad olh la pass fez part grup arm contr ditad particip sequestr troc pres ditad crim govern
0.0,Votou errado agora sofra bando de alienados.,Votou errado agora sofra bando de alienados.,Votou errado agora sofra bando de alienados,Votou errado agora sofra bando de alienados,Votou errado agora sofra bando alienados,votou errado agora sofra bando alienados,vot err agor sofr band alien
0.0,"De golpe a DILMA, LULA e o PT entendem!","De golpe a DILMA, LULA e o PT entendem!",De golpe a DILMA LULA e o PT entendem,De golpe a DILMA LULA e o PT entendem,De golpe DILMA LULA PT entendem,de golpe dilma lula pt entendem,de golp dilm lul pt entend
0.0,Estão dando GOLPE no BRASIL desde 2003!,Estão dando GOLPE no BRASIL desde 2003!,Estão dando GOLPE no BRASIL desde 2003,Estao dando GOLPE no BRASIL desde 2003,Estao dando GOLPE BRASIL desde 2003,estao dando golpe brasil desde 2003,esta dand golp brasil desd 2003
0.0,"Em 2016 o Brasil será o segundo do mundo em queda do PIB, -3.6%,estimado pelo Banco Mundial, mas que chegará facilmente a -5%, só perderemos para , a Venezuela, -4%.","Em 2016 o Brasil será o segundo do mundo em queda do PIB, -3.6%,estimado pelo Banco Mundial, mas que chegará facilmente a -5%, só perderemos para , a Venezuela, -4%.",Em 2016 o Brasil será o segundo do mundo em queda do PIB 36estimado pelo Banco Mundial mas que chegará facilmente a 5 só perderemos para  a Venezuela 4,Em 2016 o Brasil sera o segundo do mundo em queda do PIB 36estimado pelo Banco Mundial mas que chegara facilmente a 5 so perderemos para  a Venezuela 4,Em 2016 Brasil segundo mundo queda PIB 36estimado Banco Mundial chegara facilmente 5 perderemos Venezuela 4,em 2016 brasil segundo mundo queda pib 36estimado banco mundial chegara facilmente 5 perderemos venezuela 4,em 2016 brasil segund mund qued pib 36estim banc mund cheg facil 5 perd venezuel 4
0.0,Argentina terá um crescimento do PIB 2.2%.,Argentina terá um crescimento do PIB 2.2%.,Argentina terá um crescimento do PIB 22,Argentina tera um crescimento do PIB 22,Argentina crescimento PIB 22,argentina crescimento pib 22,argentin cresc pib 22
0.0,"De 2004 a 2014, o Brasil, foi o país que menos cresceu nas Américas.","De 2004 a 2014, o Brasil, foi o país que menos cresceu nas Américas.",De 2004 a 2014 o Brasil foi o país que menos cresceu nas Américas,De 2004 a 2014 o Brasil foi o pais que menos cresceu nas Americas,De 2004 2014 Brasil pais menos cresceu Americas,de 2004 2014 brasil pais menos cresceu americas,de 2004 2014 brasil pal menos cresc amer
0.0,"o PARAGUAI cresceu 5 vezes mais, o Peru 5 vezes.","o PARAGUAI cresceu 5 vezes mais, o Peru 5 vezes.",o PARAGUAI cresceu 5 vezes mais o Peru 5 vezes,o PARAGUAI cresceu 5 vezes mais o Peru 5 vezes,PARAGUAI cresceu 5 vezes Peru 5 vezes,paraguai cresceu 5 vezes peru 5 vezes,paragu cresc 5 vez peru 5 vez
0.0,Isso sim é golpe.,Isso sim é golpe.,Isso sim é golpe,Isso sim e golpe,Isso sim golpe,isso sim golpe,iss sim golp
0.0,"Hoje para pegar empréstimo o BRASIL pagaria 6,22% aa, o PERU 3,20% aa","Hoje para pegar empréstimo o BRASIL pagaria 6,22% aa, o PERU 3,20% aa",Hoje para pegar empréstimo o BRASIL pagaria 622 aa o PERU 320 aa,Hoje para pegar emprestimo o BRASIL pagaria 622 aa o PERU 320 aa,Hoje pegar emprestimo BRASIL pagaria 622 aa PERU 320 aa,hoje pegar emprestimo brasil pagaria 622 aa peru 320 aa,hoj peg emprest brasil pag 622 aa peru 320 aa
0.0,Golpe!,Golpe!,Golpe,Golpe,Golpe,golpe,golp
0.0,"Aliás, golpe de mestre é o que vc fez na casa do ex governador Ademar de Barros.","Aliás, golpe de mestre é o que vc fez na casa do ex governador Ademar de Barros.",Aliás golpe de mestre é o que vc fez na casa do ex governador Ademar de Barros,Alias golpe de mestre e o que vc fez na casa do ex governador Ademar de Barros,Alias golpe mestre vc fez casa ex governador Ademar Barros,alias golpe mestre vc fez casa ex governador ademar barros,ali golp mestr vc fez cas ex govern adem barr
0.0,"Quando foi levantada suspeita sobre o ministro chefe da casa civil do Itamar franco, este afastou-o do governo até que tudo fosse apurado. passado o tempo nada pesou sobre Eduardo Hargreaves e o assunto acabou bem.","Quando foi levantada suspeita sobre o ministro chefe da casa civil do Itamar franco, este afastou-o do governo até que tudo fosse apurado. passado o tempo nada pesou sobre Eduardo Hargreaves e o assunto acabou bem.",Quando foi levantada suspeita sobre o ministro chefe da casa civil do Itamar franco este afastouo do governo até que tudo fosse apurado passado o tempo nada pesou sobre Eduardo Hargreaves e o assunto acabou bem,Quando foi levantada suspeita sobre o ministro chefe da casa civil do Itamar franco este afastouo do governo ate que tudo fosse apurado passado o tempo nada pesou sobre Eduardo Hargreaves e o assunto acabou bem,Quando levantada suspeita sobre ministro chefe casa civil Itamar franco afastouo governo tudo apurado passado tempo nada pesou sobre Eduardo Hargreaves assunto acabou bem,quando levantada suspeita sobre ministro chefe casa civil itamar franco afastouo governo tudo apurado passado tempo nada pesou sobre eduardo hargreaves assunto acabou bem,qu levant suspeit sobr ministr chef cas civil itam franc afastou govern tud apur pass temp nad pes sobr eduard hargreav assunt acab bem
0.0,"Hoje são fortes as suspeitas sobre o ministro Jaques Wagner e o seu relacionamento com o empresário arrolado na lava jato, a reação da presidente Dilma é blinda-lo.","Hoje são fortes as suspeitas sobre o ministro Jaques Wagner e o seu relacionamento com o empresário arrolado na lava jato, a reação da presidente Dilma é blinda-lo.",Hoje são fortes as suspeitas sobre o ministro Jaques Wagner e o seu relacionamento com o empresário arrolado na lava jato a reação da presidente Dilma é blindalo,Hoje sao fortes as suspeitas sobre o ministro Jaques Wagner e o seu relacionamento com o empresario arrolado na lava jato a reacao da presidente Dilma e blindalo,Hoje fortes suspeitas sobre ministro Jaques Wagner relacionamento empresario arrolado lava jato reacao presidente Dilma blindalo,hoje fortes suspeitas sobre ministro jaques wagner relacionamento empresario arrolado lava jato reacao presidente dilma blindalo,hoj fort suspeit sobr ministr jaqu wagn relacion empresari arrol lav jat reaca presid dilm blindal
