sentenca_original,sentenca_processada1,classificacao,sentenca_processada2,sentenca_processada3_1,sentenca_processada3_2,sentenca_processada3_3,sentenca_processada3_4
Tal como no mensalão não havia provas concretas; a solução foi importar a TDF e trabalhar com suposições pois a opinião pública pressionada pela mídia precisava ser satisfeita.,Tal como no mensalão não havia provas concretas; a solução foi importar a TDF e trabalhar com suposições pois a opinião pública pressionada pela mídia precisava ser satisfeita.,0,Tal como no mensalão não havia provas concretas a solução foi importar a TDF e trabalhar com suposições pois a opinião pública pressionada pela mídia precisava ser satisfeita,Tal como no mensalao nao havia provas concretas a solucao foi importar a TDF e trabalhar com suposicoes pois a opiniao publica pressionada pela midia precisava ser satisfeita,Tal mensalao havia provas concretas solucao importar TDF trabalhar suposicoes pois opiniao publica pressionada midia precisava ser satisfeita,tal mensalao havia provas concretas solucao importar tdf trabalhar suposicoes pois opiniao publica pressionada midia precisava ser satisfeita,tal mensala hav prov concret soluca import tdf trabalh suposico poi opinia publ pression mid precis ser satisfeit
"Agora a oposição se apoia em uma justiça seletiva e faz uso do [""quanto pior melhor""]P1","Agora a oposição se apoia em uma justiça seletiva e faz uso do [""quanto pior melhor""]P1",0,Agora a oposição se apoia em uma justiça seletiva e faz uso do quanto pior melhorP1,Agora a oposicao se apoia em uma justica seletiva e faz uso do quanto pior melhorP1,Agora oposicao apoia justica seletiva faz uso quanto pior melhorP1,agora oposicao apoia justica seletiva faz uso quanto pior melhorp1,agor oposica apo jus sele faz uso quant pi melhorp1
"Esforço de imaginação era preciso antes de ler depoimentos, ver mensagens é gravações telefônicas, cruzar informações financeiras, etc.","Esforço de imaginação era preciso antes de ler depoimentos, ver mensagens é gravações telefônicas, cruzar informações financeiras, etc.",0,Esforço de imaginação era preciso antes de ler depoimentos ver mensagens é gravações telefônicas cruzar informações financeiras etc,Esforco de imaginacao era preciso antes de ler depoimentos ver mensagens e gravacoes telefonicas cruzar informacoes financeiras etc,Esforco imaginacao preciso antes ler depoimentos ver mensagens gravacoes telefonicas cruzar informacoes financeiras etc,esforco imaginacao preciso antes ler depoimentos ver mensagens gravacoes telefonicas cruzar informacoes financeiras etc,esforc imaginaca precis ant ler depo ver mens gravaco telefon cruz informaco financ etc
De fato quem esta no topo da cadeia de comando aparece menos nas questões operacionais.,De fato quem esta no topo da cadeia de comando aparece menos nas questões operacionais.,0,De fato quem esta no topo da cadeia de comando aparece menos nas questões operacionais,De fato quem esta no topo da cadeia de comando aparece menos nas questoes operacionais,De fato topo cadeia comando aparece menos questoes operacionais,de fato topo cadeia comando aparece menos questoes operacionais,de fat top cade com aparec menos questo operac
"Mas do jeito que a coisa andava frouxa, muitos se descuidaram.","Mas do jeito que a coisa andava frouxa, muitos se descuidaram.",0,Mas do jeito que a coisa andava frouxa muitos se descuidaram,Mas do jeito que a coisa andava frouxa muitos se descuidaram,Mas jeito coisa andava frouxa muitos descuidaram,mas jeito coisa andava frouxa muitos descuidaram,mas jeit cois and froux muit descuid
Siga o dinheiro e chegasse ao chefe...,Siga o dinheiro e chegasse ao chefe...,0,Siga o dinheiro e chegasse ao chefe,Siga o dinheiro e chegasse ao chefe,Siga dinheiro chegasse chefe,siga dinheiro chegasse chefe,sig dinh cheg chef
"[“... Sem Impeachment, vitórias democráticas são anuladas e corrupção vira direito... O Cinismo pode ter vencido a hipocrisia... O Escárnio pode ter vencido o Cinismo... Mas, os políticos corruptos e bandidos não escaparão da justiça...”]P1","[“... Sem Impeachment, vitórias democráticas são anuladas e corrupção vira direito... O Cinismo pode ter vencido a hipocrisia... O Escárnio pode ter vencido o Cinismo... Mas, os políticos corruptos e bandidos não escaparão da justiça...”]P1",0, Sem Impeachment vitórias democráticas são anuladas e corrupção vira direito O Cinismo pode ter vencido a hipocrisia O Escárnio pode ter vencido o Cinismo Mas os políticos corruptos e bandidos não escaparão da justiçaP1, Sem Impeachment vitorias democraticas sao anuladas e corrupcao vira direito O Cinismo pode ter vencido a hipocrisia O Escarnio pode ter vencido o Cinismo Mas os politicos corruptos e bandidos nao escaparao da justicaP1,Sem Impeachment vitorias democraticas anuladas corrupcao vira direito O Cinismo pode ter vencido hipocrisia O Escarnio pode ter vencido Cinismo Mas politicos corruptos bandidos escaparao justicaP1,sem impeachment vitorias democraticas anuladas corrupcao vira direito o cinismo pode ter vencido hipocrisia o escarnio pode ter vencido cinismo mas politicos corruptos bandidos escaparao justicap1,sem impeachment vitor democra anul corrupca vir direit o cinism pod ter venc hipocris o escarni pod ter venc cinism mas poli corrupt band escapara justicap1
"O Brasil vai superar essa crise, e, assim como no Impeachment de Collor, sairá fortalecido após o Impeachment desta [""criatura""]P1...","O Brasil vai superar essa crise, e, assim como no Impeachment de Collor, sairá fortalecido após o Impeachment desta [""criatura""]P1...",0,O Brasil vai superar essa crise e assim como no Impeachment de Collor sairá fortalecido após o Impeachment desta criaturaP1,O Brasil vai superar essa crise e assim como no Impeachment de Collor saira fortalecido apos o Impeachment desta criaturaP1,O Brasil vai superar crise assim Impeachment Collor saira fortalecido apos Impeachment desta criaturaP1,o brasil vai superar crise assim impeachment collor saira fortalecido apos impeachment desta criaturap1,o brasil vai super cris assim impeachment coll sair fortalec apo impeachment dest criaturap1
Apossaram do Estado Brasileiro para um grande Projeto de Poder inspirado nas Ditaduras Latino Americanas...,Apossaram do Estado Brasileiro para um grande Projeto de Poder inspirado nas Ditaduras Latino Americanas...,0,Apossaram do Estado Brasileiro para um grande Projeto de Poder inspirado nas Ditaduras Latino Americanas,Apossaram do Estado Brasileiro para um grande Projeto de Poder inspirado nas Ditaduras Latino Americanas,Apossaram Estado Brasileiro grande Projeto Poder inspirado Ditaduras Latino Americanas,apossaram estado brasileiro grande projeto poder inspirado ditaduras latino americanas,aposs est brasil grand projet pod inspir ditad latin americ
"[“... Sem Impeachment, vitórias democráticas são anuladas e corrupção vira direito...”]P1","[“... Sem Impeachment, vitórias democráticas são anuladas e corrupção vira direito...”]P1",0, Sem Impeachment vitórias democráticas são anuladas e corrupção vira direitoP1, Sem Impeachment vitorias democraticas sao anuladas e corrupcao vira direitoP1,Sem Impeachment vitorias democraticas anuladas corrupcao vira direitoP1,sem impeachment vitorias democraticas anuladas corrupcao vira direitop1,sem impeachment vitor democra anul corrupca vir direitop1
Temos que recomeçar do Zero...,Temos que recomeçar do Zero...,0,Temos que recomeçar do Zero,Temos que recomecar do Zero,Temos recomecar Zero,temos recomecar zero,tem recomec zer
É só roubalheira...,É só roubalheira...,0,É só roubalheira,E so roubalheira,E roubalheira,e roubalheira,e roubalh
Não vai sobrar um sequer.,Não vai sobrar um sequer.,0,Não vai sobrar um sequer,Nao vai sobrar um sequer,Nao vai sobrar sequer,nao vai sobrar sequer,nao vai sobr sequ
"Lula, está sendo progressivamente chamado.","Lula, está sendo progressivamente chamado.",0,Lula está sendo progressivamente chamado,Lula esta sendo progressivamente chamado,Lula sendo progressivamente chamado,lula sendo progressivamente chamado,lul send progressiv cham
Chegará o dia em que será preso.,Chegará o dia em que será preso.,0,Chegará o dia em que será preso,Chegara o dia em que sera preso,Chegara dia preso,chegara dia preso,cheg dia pres
[Esse governo]P7 [PTistacomunista]P3 com seu projeto criminoso de poder está metido em todas as maracutaias.,Esse governo PTistacomunista com seu projeto criminoso de poder está metido em todas as maracutaias.,0,Esse governo PTistacomunista com seu projeto criminoso de poder está metido em todas as maracutaias,Esse governo PTistacomunista com seu projeto criminoso de poder esta metido em todas as maracutaias,Esse governo PTistacomunista projeto criminoso poder metido todas maracutaias,esse governo ptistacomunista projeto criminoso poder metido todas maracutaias,ess govern ptistacomun projet crimin pod met tod maracuta
"Acredito que tenha [corruPTção]P3 em todas as estatais, pac, bndes, friboi, funai, sindicatos que os apoiam, mst, mtst, une etc, etc.","Acredito que tenha corruPTção em todas as estatais, pac, bndes, friboi, funai, sindicatos que os apoiam, mst, mtst, une etc, etc.",0,Acredito que tenha corruPTção em todas as estatais pac bndes friboi funai sindicatos que os apoiam mst mtst une etc etc,Acredito que tenha corruPTcao em todas as estatais pac bndes friboi funai sindicatos que os apoiam mst mtst une etc etc,Acredito corruPTcao todas estatais pac bndes friboi funai sindicatos apoiam mst mtst une etc etc,acredito corruptcao todas estatais pac bndes friboi funai sindicatos apoiam mst mtst une etc etc,acredit corruptca tod estatal pac bnd fribo fun sindicat apo mst mtst une etc etc
Queremos ver as instituições trabalharem e punirem a todos os culpados seja de que partido for.,Queremos ver as instituições trabalharem e punirem a todos os culpados seja de que partido for.,0,Queremos ver as instituições trabalharem e punirem a todos os culpados seja de que partido for,Queremos ver as instituicoes trabalharem e punirem a todos os culpados seja de que partido for,Queremos ver instituicoes trabalharem punirem todos culpados partido,queremos ver instituicoes trabalharem punirem todos culpados partido,quer ver instituico trabalh pun tod culp part
Não podemos tolerar mais essa baderna e roubalheira que se instalou nos poderes.,Não podemos tolerar mais essa baderna e roubalheira que se instalou nos poderes.,0,Não podemos tolerar mais essa baderna e roubalheira que se instalou nos poderes,Nao podemos tolerar mais essa baderna e roubalheira que se instalou nos poderes,Nao podemos tolerar baderna roubalheira instalou poderes,nao podemos tolerar baderna roubalheira instalou poderes,nao pod toler badern roubalh instal pod
Fora [PTistascomunistas]P3!!,Fora PTistascomunistas!!,0,Fora PTistascomunistas,Fora PTistascomunistas,Fora PTistascomunistas,fora ptistascomunistas,for ptistascomun
Somando vários trecho e todos os depoimentos não fica ninguém de fora.,Somando vários trecho e todos os depoimentos não fica ninguém de fora.,0,Somando vários trecho e todos os depoimentos não fica ninguém de fora,Somando varios trecho e todos os depoimentos nao fica ninguem de fora,Somando varios trecho todos depoimentos fica ninguem,somando varios trecho todos depoimentos fica ninguem,som vari trech tod depo fic ning
Porque petista aparecem mais?,Porque petista aparecem mais?,0,Porque petista aparecem mais,Porque petista aparecem mais,Porque petista aparecem,porque petista aparecem,porqu petist aparec
Por movimentaram mais dinheiro.,Por movimentaram mais dinheiro.,0,Por movimentaram mais dinheiro,Por movimentaram mais dinheiro,Por movimentaram dinheiro,por movimentaram dinheiro,por moviment dinh
A calmaria dentro do Governo acaba só por ter alguem dentro dele investigado.,A calmaria dentro do Governo acaba só por ter alguem dentro dele investigado.,0,A calmaria dentro do Governo acaba só por ter alguem dentro dele investigado,A calmaria dentro do Governo acaba so por ter alguem dentro dele investigado,A calmaria dentro Governo acaba ter alguem dentro investigado,a calmaria dentro governo acaba ter alguem dentro investigado,a calm dentr govern acab ter algu dentr investig
Vulneravel este Governo.,Vulneravel este Governo.,0,Vulneravel este Governo,Vulneravel este Governo,Vulneravel Governo,vulneravel governo,vulnera govern
Será que o receio é só por esse alguem?,Será que o receio é só por esse alguem?,0,Será que o receio é só por esse alguem,Sera que o receio e so por esse alguem,Sera receio alguem,sera receio alguem,ser recei algu
ou é pelo conjunto que se teme.,ou é pelo conjunto que se teme.,0,ou é pelo conjunto que se teme,ou e pelo conjunto que se teme,conjunto teme,conjunto teme,conjunt tem
